"EmployeeKey","ParentEmployeeKey","EmployeeNationalIDAlternateKey","ParentEmployeeNationalIDAlternateKey","FirstName","LastName","MiddleName","NameStyle","Title","HireDate","BirthDate","LoginID","EmailAddress","Phone","MaritalStatus","EmergencyContactName","EmergencyContactPhone","SalariedFlag","Gender","PayFrequency","BaseRate","VacationHours","SickLeaveHours","CurrentFlag","SalesPersonFlag","DepartmentName","EmployeePhoto","Position"
"27","23","360868122","277173473","Zheng","Mu","W","False","Production Supervisor - WC10","03/07/2008 00:00:00","26/05/1983 00:00:00","AW\zheng-mu","zheng-mu@adventureworks.com","113-555-0173","S","Zheng Mu","113-555-0173","False","M","2","25,0000","66","53","True","False","Production","System.Byte[]",""
"28","111","964089218","45615666","Ivo","Salmre","William","False","Production Technician - WC20","04/07/2008 00:00:00","03/08/1981 00:00:00","AW\ivo-salmre","ivo-salmre@adventureworks.com","115-555-0179","M","Ivo Salmre","115-555-0179","False","M","1","14,0000","9","24","True","False","Production","System.Byte[]",""
"29","89","384162788","750905084","Paul","Komosinski","B","False","Production Technician - WC40","04/07/2008 00:00:00","13/06/1980 00:00:00","AW\paul-komosinski","paul-komosinski@adventureworks.com","147-555-0160","S","Paul Komosinski","147-555-0160","False","M","1","15,0000","68","54","True","False","Production","System.Byte[]",""
"30","154","749389530","858323870","Ashvini","Sharma","R","False","Network Administrator","04/07/2008 00:00:00","25/10/1976 00:00:00","AW\ashvini-sharma","ashvini-sharma@adventureworks.com","656-555-0119","S","Ashvini Sharma","656-555-0119","False","M","2","32,4519","70","55","True","False","Information Services","System.Byte[]",""
"31","16","571658797","233069302","Kendall","Keil","C","False","Production Technician - WC50","05/07/2008 00:00:00","28/12/1985 00:00:00","AW\kendall-keil","kendall-keil@adventureworks.com","138-555-0128","M","Kendall Keil","138-555-0128","False","M","1","11,0000","11","25","True","False","Production","System.Byte[]",""
"32","143","535145551","184188301","Paula","Barreto de Mattos","M","False","Human Resources Manager","06/07/2008 00:00:00","11/09/1975 00:00:00","AW\paula-barreto","paula-barreto-de-mattos@adventureworks.com","523-555-0175","M","Paula Barreto de Mattos","523-555-0175","True","F","2","27,1394","54","47","True","False","Human Resources","System.Byte[]",""
"33","214","761597760","634335025","Alejandro","McGuel","E","False","Production Technician - WC40","06/07/2008 00:00:00","05/07/1988 00:00:00","AW\alejandro-mcguel","alejandro-mcguel@adventureworks.com","668-555-0130","S","Alejandro McGuel","668-555-0130","False","M","1","15,0000","52","46","True","False","Production","System.Byte[]",""
"34","188","271438431","60114406","Garrett","Young","R","False","Production Technician - WC30","07/07/2008 00:00:00","25/03/1984 00:00:00","AW\garrett-young","garrett-young@adventureworks.com","609-555-0179","S","Garrett Young","609-555-0179","False","M","1","9,5000","34","37","True","False","Production","System.Byte[]",""
"35","138","160739235","386315192","Jian Shuo","Wang","","False","Production Technician - WC30","07/07/2008 00:00:00","24/02/1983 00:00:00","AW\jian shuo-wang","jian shuo-wang@adventureworks.com","952-555-0178","S","Jian Shuo Wang","952-555-0178","False","M","1","9,5000","36","38","True","False","Production","System.Byte[]",""
"36","87","586486572","521265716","Susan","Eaton","W","False","Stocker","07/07/2008 00:00:00","17/09/1977 00:00:00","AW\susan-eaton","susan-eaton@adventureworks.com","943-555-0196","S","Susan Eaton","943-555-0196","False","F","1","9,0000","97","68","True","False","Shipping and Receiving","System.Byte[]",""
"37","87","337752649","521265716","Vamsi","Kuppa","N","False","Shipping and Receiving Clerk","07/07/2008 00:00:00","16/10/1976 00:00:00","AW\vamsi-kuppa","vamsi-kuppa@adventureworks.com","937-555-0137","M","Vamsi Kuppa","937-555-0137","False","M","2","9,5000","95","67","True","False","Shipping and Receiving","System.Byte[]",""
"38","40","113695504","630184120","Alice","Ciccu","O","False","Production Technician - WC50","07/07/2008 00:00:00","26/08/1977 00:00:00","AW\alice-ciccu","alice-ciccu@adventureworks.com","333-555-0173","M","Alice Ciccu","333-555-0173","False","F","1","11,0000","95","67","True","False","Production","System.Byte[]",""
"39","9","276751903","309738752","Simon","Rapier","D","False","Production Technician - WC60","08/07/2008 00:00:00","15/12/1989 00:00:00","AW\simon-rapier","simon-rapier@adventureworks.com","963-555-0134","S","Simon Rapier","963-555-0134","False","M","1","12,4500","38","39","True","False","Production","System.Byte[]",""
"40","23","630184120","277173473","Jinghao","Liu","K","False","Production Supervisor - WC50","08/07/2008 00:00:00","05/09/1988 00:00:00","AW\jinghao-liu","jinghao-liu@adventureworks.com","794-555-0159","S","Jinghao Liu","794-555-0159","False","M","2","25,0000","77","58","True","False","Production","System.Byte[]",""
"41","186","545337468","862951447","Michael","Hines","T","False","Production Technician - WC20","09/07/2008 00:00:00","15/12/1989 00:00:00","AW\michael-hines","michael-hines@adventureworks.com","218-555-0126","S","Michael Hines","218-555-0126","False","M","1","14,0000","20","30","True","False","Production","System.Byte[]",""
"42","163","713403643","551834634","Yvonne","McKay","S","False","Production Technician - WC45","09/07/2008 00:00:00","13/11/1988 00:00:00","AW\yvonne-mckay","yvonne-mckay@adventureworks.com","286-555-0189","M","Yvonne McKay","286-555-0189","False","F","1","10,0000","79","59","True","False","Production","System.Byte[]",""
"43","204","885055826","398223854","Peng","Wu","J","False","Quality Assurance Supervisor","09/07/2008 00:00:00","17/10/1975 00:00:00","AW\peng-wu","peng-wu@adventureworks.com","164-555-0164","M","Peng Wu","164-555-0164","True","M","2","21,6346","81","60","True","False","Quality Assurance","System.Byte[]",""
"44","112","441044382","295847284","Jean","Trenary","E","False","Information Services Manager","11/07/2008 00:00:00","13/07/1975 00:00:00","AW\jean-trenary","jean-trenary@adventureworks.com","685-555-0120","S","Jean Trenary","685-555-0120","True","F","2","50,4808","65","52","True","False","Information Services","System.Byte[]",""
"45","76","718299860","778552911","Russell","Hunter","","False","Production Technician - WC50","12/07/2008 00:00:00","25/06/1972 00:00:00","AW\russell-hunter","russell-hunter@adventureworks.com","786-555-0144","M","Russell Hunter","786-555-0144","False","M","1","11,0000","6","23","True","False","Production","System.Byte[]",""
"46","23","685233686","277173473","A. Scott","Wright","","False","Master Scheduler","12/07/2008 00:00:00","17/04/1968 00:00:00","AW\a-scott-wright","a-scott-wright@adventureworks.com","992-555-0194","S","A. Scott Wright","992-555-0194","False","M","2","23,5577","44","42","True","False","Production Control","System.Byte[]",""
"47","214","295971920","634335025","Fred","Northup","T","False","Production Technician - WC40","12/07/2008 00:00:00","23/01/1989 00:00:00","AW\fred-northup","fred-northup@adventureworks.com","818-555-0192","S","Fred Northup","818-555-0192","False","M","1","15,0000","47","43","True","False","Production","System.Byte[]",""
"48","7","95958330","24756624","Sariya","Harnpadoungsataya","E","False","Marketing Specialist","12/07/2008 00:00:00","19/12/1986 00:00:00","AW\sariya-harnpadoungsataya","sariya-harnpadoungsataya@adventureworks.com","399-555-0176","S","Sariya Harnpadoungsataya","399-555-0176","False","M","2","14,4231","45","42","True","False","Marketing","System.Byte[]",""
"49","32","332040978","535145551","Willis","Johnson","T","False","Recruiter","13/07/2008 00:00:00","15/02/1978 00:00:00","AW\willis-johnson","willis-johnson@adventureworks.com","778-555-0141","S","Willis Johnson","778-555-0141","False","M","2","18,2692","49","44","True","False","Human Resources","System.Byte[]",""
"50","40","857651804","630184120","Jun","Cao","T","False","Production Technician - WC50","14/07/2008 00:00:00","03/02/1979 00:00:00","AW\jun-cao","jun-cao@adventureworks.com","299-555-0113","S","Jun Cao","299-555-0113","False","M","1","11,0000","90","65","True","False","Production","System.Byte[]",""
"51","222","553069203","141165819","Christian","Kleinerman","E","False","Maintenance Supervisor","14/07/2008 00:00:00","18/08/1975 00:00:00","AW\christian-kleinerman","christian-kleinerman@adventureworks.com","846-555-0157","M","Christian Kleinerman","846-555-0157","True","M","2","20,4327","92","66","True","False","Facilities and Maintenance","System.Byte[]",""
"52","188","351069889","60114406","Susan","Metters","A","False","Production Technician - WC30","14/07/2008 00:00:00","31/10/1982 00:00:00","AW\susan-metters","susan-metters@adventureworks.com","639-555-0164","S","Susan Metters","639-555-0164","False","F","1","9,5000","31","35","True","False","Production","System.Byte[]",""
"53","23","370989364","277173473","Reuben","D'sa","H","False","Production Supervisor - WC40","15/07/2008 00:00:00","27/03/1987 00:00:00","AW\reuben-dsa","reuben-dsa@adventureworks.com","191-555-0112","M","Reuben D'sa","191-555-0112","False","M","2","25,0000","72","56","True","False","Production","System.Byte[]",""
"54","126","275962311","712885347","Kirk","Koenigsbauer","J","False","Production Technician - WC45","15/07/2008 00:00:00","06/09/1984 00:00:00","AW\kirk-koenigsbauer","kirk-koenigsbauer@adventureworks.com","669-555-0150","S","Kirk Koenigsbauer","669-555-0150","False","M","1","10,0000","74","57","True","False","Production","System.Byte[]",""
"55","20","36151748","494170342","David","Ortiz","J","False","Production Technician - WC60","15/07/2008 00:00:00","29/07/1984 00:00:00","SQLSERVER2017\LabUser","david-ortiz@adventureworks.com","712-555-0119","M","David Ortiz","712-555-0119","False","M","1","12,4500","33","36","True","False","Production","System.Byte[]",""
"56","92","540688287","345106466","Tengiz","Kharatishvili","N","False","Control Specialist","16/07/2008 00:00:00","26/11/1989 00:00:00","AW\tengiz-kharatishvili","tengiz-kharatishvili@adventureworks.com","910-555-0116","S","Tengiz Kharatishvili","910-555-0116","False","M","2","16,8269","76","58","True","False","Document Control","System.Byte[]",""
"57","147","568596888","319472946","Hanying","Feng","P","False","Production Technician - WC20","16/07/2008 00:00:00","16/05/1974 00:00:00","AW\hanying-feng","hanying-feng@adventureworks.com","319-555-0139","S","Hanying Feng","319-555-0139","False","M","1","14,0000","15","27","True","False","Production","System.Byte[]",""
"58","214","918737118","634335025","Kevin","Liu","H","False","Production Technician - WC40","17/07/2008 00:00:00","25/07/1985 00:00:00","AW\kevin-liu","kevin-liu@adventureworks.com","714-555-0138","S","Kevin Liu","714-555-0138","False","M","1","15,0000","58","49","True","False","Production","System.Byte[]",""
"59","18","801758002","446466105","Annik","Stahl","O","False","Production Technician - WC60","17/07/2008 00:00:00","26/07/1976 00:00:00","AW\annik-stahl","annik-stahl@adventureworks.com","499-555-0125","M","Annik Stahl","499-555-0125","False","M","1","12,4500","17","28","True","False","Production","System.Byte[]",""
"60","40","415823523","630184120","Suroor","Fatima","R","False","Production Technician - WC50","17/07/2008 00:00:00","25/09/1977 00:00:00","AW\suroor-fatima","suroor-fatima@adventureworks.com","932-555-0161","S","Suroor Fatima","932-555-0161","False","M","1","11,0000","93","66","True","False","Production","System.Byte[]",""
"61","142","363923697","30845","Deborah","Poe","E","False","Accounts Receivable Specialist","18/07/2008 00:00:00","05/10/1975 00:00:00","AW\deborah-poe","deborah-poe@adventureworks.com","602-555-0194","M","Deborah Poe","602-555-0194","False","F","2","19,0000","60","50","True","False","Finance","System.Byte[]",""
"62","76","674171828","778552911","Jim","Scardelis","H","False","Production Technician - WC50","19/07/2008 00:00:00","08/04/1986 00:00:00","AW\jim-scardelis","jim-scardelis@adventureworks.com","679-555-0113","M","Jim Scardelis","679-555-0113","False","M","1","11,0000","1","20","True","False","Production","System.Byte[]",""
"63","177","138280935","578935259","Carole","Poland","M","False","Production Technician - WC30","19/07/2008 00:00:00","19/05/1983 00:00:00","AW\carole-poland","carole-poland@adventureworks.com","688-555-0192","M","Carole Poland","688-555-0192","False","F","1","9,5000","42","41","True","False","Production","System.Byte[]",""
"64","188","476115505","60114406","George","Li","Z","False","Production Technician - WC30","21/07/2008 00:00:00","14/11/1976 00:00:00","AW\george-li","george-li@adventureworks.com","518-555-0199","M","George Li","518-555-0199","False","M","1","9,5000","26","33","True","False","Production","System.Byte[]",""
"65","89","502058701","750905084","Gary","Yukish","W","False","Production Technician - WC40","22/07/2008 00:00:00","15/12/1987 00:00:00","AW\gary-yukish","gary-yukish@adventureworks.com","901-555-0125","S","Gary Yukish","901-555-0125","False","M","1","15,0000","69","54","True","False","Production","System.Byte[]",""
"66","23","7201901","277173473","Cristian","Petculescu","K","False","Production Supervisor - WC10","22/07/2008 00:00:00","10/11/1983 00:00:00","AW\cristian-petculescu","cristian-petculescu@adventureworks.com","434-555-0133","M","Cristian Petculescu","434-555-0133","False","M","2","25,0000","67","53","True","False","Production","System.Byte[]",""
"67","147","97728960","319472946","Raymond","Sam","K","False","Production Technician - WC20","23/07/2008 00:00:00","30/09/1966 00:00:00","AW\raymond-sam","raymond-sam@adventureworks.com","226-555-0197","M","Raymond Sam","226-555-0197","False","M","1","14,0000","10","25","True","False","Production","System.Byte[]",""
"68","44","525932996","441044382","Janaina","Bueno","Barreiro Gambaro","False","Application Specialist","23/07/2008 00:00:00","30/08/1984 00:00:00","AW\janaina-bueno","janaina-bueno@adventureworks.com","623-555-0155","M","Janaina Bueno","623-555-0155","True","F","2","27,4038","71","55","True","False","Information Services","System.Byte[]",""
"69","16","843479922","233069302","Bob","Hohman","N","False","Production Technician - WC50","24/07/2008 00:00:00","16/03/1979 00:00:00","AW\bob-hohman","bob-hohman@adventureworks.com","611-555-0116","S","Bob Hohman","611-555-0116","False","M","1","11,0000","12","26","True","False","Production","System.Byte[]",""
"70","214","370487086","634335025","Shammi","Mohamed","G","False","Production Technician - WC40","24/07/2008 00:00:00","04/05/1980 00:00:00","AW\shammi-mohamed","shammi-mohamed@adventureworks.com","793-555-0179","M","Shammi Mohamed","793-555-0179","False","M","1","15,0000","53","46","True","False","Production","System.Byte[]",""
"71","40","54759846","630184120","Linda","Moschell","K","False","Production Technician - WC50","25/07/2008 00:00:00","14/02/1987 00:00:00","AW\linda-moschell","linda-moschell@adventureworks.com","612-555-0171","M","Linda Moschell","612-555-0171","False","F","1","11,0000","96","68","True","False","Production","System.Byte[]",""
"72","32","619308550","535145551","Mindy","Martin","C","False","Benefits Specialist","25/07/2008 00:00:00","20/06/1984 00:00:00","AW\mindy-martin","mindy-martin@adventureworks.com","522-555-0147","M","Mindy Martin","522-555-0147","False","F","2","16,5865","51","45","True","False","Human Resources","System.Byte[]",""
"73","143","121491555","184188301","Wendy","Kahn","Beth","False","Finance Manager","25/07/2008 00:00:00","11/05/1984 00:00:00","AW\wendy-kahn","wendy-kahn@adventureworks.com","248-555-0134","S","Wendy Kahn","248-555-0134","True","F","2","43,2692","55","47","True","False","Finance","System.Byte[]",""
"74","87","420776180","521265716","Kim","Ralls","T","False","Stocker","26/07/2008 00:00:00","29/11/1983 00:00:00","AW\kim-ralls","kim-ralls@adventureworks.com","309-555-0129","S","Kim Ralls","309-555-0129","False","F","1","9,0000","98","69","True","False","Shipping and Receiving","System.Byte[]",""
"75","138","604664374","386315192","Sandra","Reátegui Alayo","","False","Production Technician - WC30","26/07/2008 00:00:00","05/06/1975 00:00:00","AW\sandra-reategui","sandra-reategui-alayo@adventureworks.com","896-555-0168","M","Sandra Reátegui Alayo","896-555-0168","False","F","1","9,5000","37","38","True","False","Production","System.Byte[]",""
"76","23","778552911","277173473","Kok-Ho","Loh","T","False","Production Supervisor - WC50","27/07/2008 00:00:00","27/11/1979 00:00:00","AW\kok-ho-loh","kok-ho-loh@adventureworks.com","999-555-0155","S","Kok-Ho Loh","999-555-0155","False","M","2","25,0000","78","59","True","False","Production","System.Byte[]",""
"77","163","435234965","551834634","Douglas","Hite","B","False","Production Technician - WC45","27/07/2008 00:00:00","24/06/1985 00:00:00","AW\douglas-hite","douglas-hite@adventureworks.com","808-555-0172","M","Douglas Hite","808-555-0172","False","M","1","10,0000","80","60","True","False","Production","System.Byte[]",""
"78","9","339712426","309738752","James","Kramer","D","False","Production Technician - WC60","27/07/2008 00:00:00","23/02/1984 00:00:00","AW\james-kramer","james-kramer@adventureworks.com","119-555-0117","M","James Kramer","119-555-0117","False","M","1","12,4500","39","39","True","False","Production","System.Byte[]",""
"79","43","403414852","885055826","Sean","Alexander","P","False","Quality Assurance Technician","28/07/2008 00:00:00","05/10/1975 00:00:00","AW\sean-alexander","sean-alexander@adventureworks.com","420-555-0173","S","Sean Alexander","420-555-0173","False","M","2","10,5769","82","61","True","False","Quality Assurance","System.Byte[]",""
"80","186","368920189","862951447","Nitin","Mirchandani","S","False","Production Technician - WC20","28/07/2008 00:00:00","01/07/1986 00:00:00","AW\nitin-mirchandani","nitin-mirchandani@adventureworks.com","143-555-0173","S","Nitin Mirchandani","143-555-0173","False","M","1","14,0000","21","30","True","False","Production","System.Byte[]",""
"81","162","811994146","134969118","Diane","Margheim","L","False","Research and Development Engineer","29/07/2008 00:00:00","03/01/1986 00:00:00","AW\diane-margheim","diane-margheim@adventureworks.com","815-555-0138","S","Diane Margheim","815-555-0138","True","F","2","40,8654","62","51","True","False","Research and Development","System.Byte[]",""
"82","18","330211482","446466105","Rebecca","Laszlo","A","False","Production Technician - WC60","29/07/2008 00:00:00","04/02/1988 00:00:00","AW\rebecca-laszlo","rebecca-laszlo@adventureworks.com","314-555-0113","M","Rebecca Laszlo","314-555-0113","False","F","1","12,4500","23","31","True","False","Production","System.Byte[]",""
"83","214","632092621","634335025","Rajesh","Patel","M","False","Production Technician - WC40","31/07/2008 00:00:00","04/05/1977 00:00:00","AW\rajesh-patel","rajesh-patel@adventureworks.com","373-555-0137","M","Rajesh Patel","373-555-0137","False","M","1","15,0000","48","44","True","False","Production","System.Byte[]",""
"84","32","264306399","535145551","Vidur","Luthra","X","False","Recruiter","01/08/2008 00:00:00","01/03/1984 00:00:00","AW\vidur-luthra","vidur-luthra@adventureworks.com","153-555-0186","S","Vidur Luthra","153-555-0186","False","M","2","18,2692","50","45","True","False","Human Resources","System.Byte[]",""
"85","40","981597097","630184120","John","Evans","P","False","Production Technician - WC50","01/08/2008 00:00:00","29/12/1977 00:00:00","AW\john-evans","john-evans@adventureworks.com","172-555-0130","S","John Evans","172-555-0130","False","M","1","11,0000","91","65","True","False","Production","System.Byte[]",""
"86","9","693325305","309738752","Nancy","Anderson","A","False","Production Technician - WC60","02/08/2008 00:00:00","19/06/1988 00:00:00","AW\nancy-anderson","nancy-anderson@adventureworks.com","970-555-0118","M","Nancy Anderson","970-555-0118","False","F","1","12,4500","34","37","True","False","Production","System.Byte[]",""
"87","23","521265716","277173473","Pilar","Ackerman","G","False","Shipping and Receiving Supervisor","02/08/2008 00:00:00","09/04/1972 00:00:00","AW\pilar-ackerman","pilar-ackerman@adventureworks.com","577-555-0185","S","Pilar Ackerman","577-555-0185","True","M","2","19,2308","93","66","True","False","Shipping and Receiving","System.Byte[]",""
"88","188","746373306","60114406","David","Yalovsky","A","False","Production Technician - WC30","02/08/2008 00:00:00","03/03/1981 00:00:00","SQLSERVER2017\LabUser","david-yalovsky@adventureworks.com","373-555-0142","S","David Yalovsky","373-555-0142","False","M","1","9,5000","32","36","True","False","Production","System.Byte[]",""
"89","23","750905084","277173473","David","Hamilton","P","False","Production Supervisor - WC40","03/08/2008 00:00:00","30/01/1983 00:00:00","SQLSERVER2017\LabUser","david-hamilton@adventureworks.com","986-555-0177","S","David Hamilton","986-555-0177","False","M","2","25,0000","73","56","True","False","Production","System.Byte[]",""
"90","126","514829225","712885347","Laura","Steele","C","False","Production Technician - WC45","03/08/2008 00:00:00","25/07/1980 00:00:00","AW\laura-steele","laura-steele@adventureworks.com","777-555-0141","S","Laura Steele","777-555-0141","False","F","1","10,0000","75","57","True","False","Production","System.Byte[]",""
"91","18","750246141","446466105","Margie","Shoop","W","False","Production Technician - WC60","04/08/2008 00:00:00","18/12/1985 00:00:00","AW\margie-shoop","margie-shoop@adventureworks.com","818-555-0128","M","Margie Shoop","818-555-0128","False","F","1","12,4500","18","29","True","False","Production","System.Byte[]",""
"92","204","345106466","398223854","Zainal","Arifin","T","False","Document Control Manager","04/08/2008 00:00:00","30/08/1975 00:00:00","AW\zainal-arifin","zainal-arifin@adventureworks.com","204-555-0115","M","Zainal Arifin","204-555-0115","False","M","2","17,7885","77","58","True","False","Document Control","System.Byte[]",""
